ticket_id,created_at,status,pai_id,gap_s,pai_perfil,auto_tags
2628792,2026-06-01T19:01:56,closed,2628780,6,bsat,0
2628845,2026-06-01T19:22:50,closed,2628835,61,bsat,0
2635143,2026-06-03T14:03:34,closed,2635137,16,bsat,1
2641428,2026-06-05T20:05:33,closed,2641422,68,bsat,0
2646112,2026-06-07T08:25:49,closed,2646108,2,bsat,0
2650146,2026-06-08T16:52:45,closed,2650132,6,bsat,0
2657750,2026-06-10T22:09:06,closed,2657746,12,bsat,0
2659401,2026-06-11T14:12:49,closed,2659397,3,bsat,1
2664991,2026-06-12T16:46:20,closed,2664988,4,bsat,0
2681836,2026-06-15T14:41:59,closed,2681834,7,bsat,0
2682520,2026-06-15T17:01:00,closed,2682507,5,bsat,0
2682558,2026-06-15T17:05:59,closed,2682549,6,bsat,0
2683593,2026-06-15T20:02:02,closed,2683577,2,bsat,0
2683714,2026-06-15T20:21:35,closed,2683673,20,bsat,1
2684606,2026-06-15T22:52:50,closed,2684600,2,bsat,0
2684957,2026-06-16T00:01:12,closed,2684947,13,bsat,0
2684960,2026-06-16T00:01:49,closed,2684948,12,bsat,0
2686525,2026-06-16T13:08:19,closed,2686517,1,bsat,0
2687910,2026-06-16T18:16:54,closed,2687864,2,bsat,1
2690056,2026-06-17T00:11:24,closed,2690024,8,bsat,0
2692278,2026-06-17T11:04:42,closed,2692266,4,bsat,0
2693154,2026-06-17T15:22:29,closed,2693150,1,bsat,1
2694471,2026-06-17T18:15:35,closed,2694461,2,bsat,0
2694545,2026-06-17T18:30:45,closed,2694540,49,bsat,0
2699274,2026-06-18T15:52:34,closed,2699263,3,transferencia,0
2699845,2026-06-18T18:00:42,closed,2699837,8,transferencia,0
2703824,2026-06-19T12:01:48,closed,2703815,30,bsat,0
2705527,2026-06-19T16:24:58,closed,2705512,7,transferencia,1
2707750,2026-06-19T20:01:55,closed,2707701,6,transferencia,1
2717264,2026-06-20T18:13:27,closed,2717224,3,bsat,0
2719713,2026-06-21T00:51:35,closed,2719704,4,transferencia,1
2745609,2026-06-24T23:49:40,closed,2745557,3,bsat,0
2768050,2026-06-29T12:58:24,closed,2768042,8,bsat,0
2768305,2026-06-29T13:59:08,closed,2768278,10,bsat,1
2768412,2026-06-29T14:17:50,closed,2768319,5,inativa,0
2768463,2026-06-29T14:25:23,closed,2768440,9,bsat,0
2768497,2026-06-29T14:30:07,closed,2768470,7,bsat,0
2768636,2026-06-29T14:49:57,closed,2768624,13,bsat,0
2768903,2026-06-29T15:28:21,closed,2768878,7,bsat,0
2769027,2026-06-29T15:43:34,closed,2768975,23,bsat,0
2769150,2026-06-29T15:57:55,closed,2769101,15,bsat,0
2769168,2026-06-29T15:59:50,closed,2769068,3,bsat,0
2769403,2026-06-29T16:23:51,closed,2769387,12,bsat,0
2769506,2026-06-29T16:37:18,closed,2769485,10,bsat,0
2769827,2026-06-29T17:16:15,closed,2769746,57,bsat,1
2770058,2026-06-29T17:48:30,closed,2770014,23,bsat,1
2770069,2026-06-29T17:50:06,closed,2770025,3,bsat,1
2770142,2026-06-29T17:58:45,closed,2770012,21,inativa,0
2770154,2026-06-29T17:59:57,closed,2770116,34,bsat,0
2770184,2026-06-29T18:03:42,closed,2770112,36,bsat,0
2770481,2026-06-29T19:08:02,closed,2770455,42,bsat,0
2770484,2026-06-29T19:08:10,closed,2770458,5,bsat,0
2770567,2026-06-29T19:15:18,closed,2770492,24,bsat,1
2770614,2026-06-29T19:20:07,closed,2770605,22,bsat,0
2770664,2026-06-29T19:26:04,closed,2770638,33,bsat,0
2770717,2026-06-29T19:33:23,closed,2770685,10,bsat,0
2770832,2026-06-29T19:54:48,closed,2770820,17,bsat,0
2770882,2026-06-29T20:03:08,closed,2770861,16,bsat,1
2770934,2026-06-29T20:14:09,closed,2770927,9,bsat,1
2771004,2026-06-29T20:28:35,closed,2770967,57,bsat,0
2771101,2026-06-29T20:49:04,closed,2771083,19,bsat,1
2771375,2026-06-29T21:42:04,closed,2771342,8,bsat,0
2771384,2026-06-29T21:43:45,closed,2771380,7,bsat,1
2771614,2026-06-29T22:30:08,closed,2771593,30,bsat,0
2771647,2026-06-29T22:32:55,closed,2771630,75,bsat,0
2772023,2026-06-29T23:16:35,closed,2772001,8,bsat,0
2772277,2026-06-29T23:41:48,closed,2772250,11,bsat,0
2772373,2026-06-29T23:53:22,closed,2772342,81,bsat,1
2772510,2026-06-30T00:15:42,closed,2772495,69,bsat,1
2772675,2026-06-30T00:47:15,closed,2772659,11,bsat,0
2772761,2026-06-30T01:08:55,closed,2772725,9,bsat,0
2772840,2026-06-30T01:29:24,closed,2772833,10,bsat,0
2772860,2026-06-30T01:34:36,closed,2772819,24,bsat,0
2772878,2026-06-30T01:39:22,closed,2772865,20,bsat,0
2773037,2026-06-30T02:17:42,closed,2773023,6,bsat,0
2773253,2026-06-30T03:10:19,closed,2773247,14,bsat,0
2773431,2026-06-30T04:06:21,closed,2773417,9,bsat,0
2773443,2026-06-30T04:10:04,closed,2773439,6,bsat,0
2773456,2026-06-30T04:14:02,closed,2773450,12,bsat,1
2773460,2026-06-30T04:16:10,closed,2773451,11,bsat,1
2773504,2026-06-30T04:56:44,closed,2773498,9,bsat,0
2773505,2026-06-30T04:58:50,closed,2773501,30,bsat,0
2773539,2026-06-30T05:51:26,closed,2773538,4,bsat,0
2773606,2026-06-30T08:17:19,closed,2773604,13,bsat,0
2773638,2026-06-30T09:16:37,closed,2773636,9,bsat,1
2773833,2026-06-30T11:49:33,closed,2773827,5,bsat,0
2773998,2026-06-30T13:03:02,closed,2773963,11,bsat,0
2774053,2026-06-30T13:20:09,closed,2774046,20,bsat,0
2774153,2026-06-30T13:58:50,closed,2774143,79,bsat,1
2774182,2026-06-30T14:09:18,closed,2774176,18,bsat,0
2774260,2026-06-30T14:36:19,closed,2774253,11,bsat,1
2774303,2026-06-30T14:46:19,closed,2774295,17,bsat,0
2774498,2026-06-30T15:32:32,closed,2774493,14,bsat,0
2774655,2026-06-30T16:10:05,closed,2774636,35,bsat,1
2774836,2026-06-30T16:48:41,closed,2774829,18,bsat,0
2775321,2026-06-30T18:35:06,closed,2775289,24,bsat,0
2775625,2026-06-30T19:21:11,closed,2775611,33,bsat,1
2775630,2026-06-30T19:21:49,closed,2775613,2,bsat,0
2775699,2026-06-30T19:32:18,closed,2775673,73,bsat,0
2775733,2026-06-30T19:38:17,closed,2775716,11,bsat,1
2775744,2026-06-30T19:40:03,closed,2775729,8,bsat,0
2775768,2026-06-30T19:43:28,closed,2775746,35,bsat,0
2775902,2026-06-30T20:09:25,closed,2775886,47,bsat,0
2775954,2026-06-30T20:20:17,closed,2775913,29,bsat,0
2776075,2026-06-30T20:41:03,closed,2776037,8,bsat,0
2776204,2026-06-30T21:02:15,closed,2776196,13,bsat,0
2776340,2026-06-30T21:30:38,closed,2776316,20,bsat,0
2776359,2026-06-30T21:32:33,closed,2776309,37,bsat,0
2776649,2026-06-30T22:17:32,closed,2776632,10,bsat,0
2776677,2026-06-30T22:22:28,closed,2776669,12,bsat,0
2776717,2026-06-30T22:28:24,closed,2776704,8,bsat,0
2776760,2026-06-30T22:34:19,closed,2776751,11,bsat,0
2776779,2026-06-30T22:36:42,closed,2776770,5,bsat,0
2776836,2026-06-30T22:41:43,closed,2776820,7,bsat,1
2776944,2026-06-30T22:53:55,closed,2776932,2,bsat,0
2776949,2026-06-30T22:54:24,closed,2776910,18,bsat,0
2776962,2026-06-30T22:55:49,closed,2776956,9,bsat,0
2777129,2026-06-30T23:15:06,closed,2777064,41,bsat,1
2777153,2026-06-30T23:20:17,closed,2777143,9,bsat,0
2777233,2026-06-30T23:34:37,closed,2777229,13,bsat,0
